name,value,year,lastValue,rank
PUSARLA V. Sindhu,73284,2015.07,73284,6
HE Bingjiao,62185,2015.07,62185,7
INTANON Ratchanok,51086,2015.07,51086,8
NEHWAL Saina,39987,2015.07,39987,9
TAKAHASHI Sayaka,28888,2015.07,28888,10
TAI Tzu Ying,139876,2015.08,139876,1
OKUHARA Nozomi,125698,2015.08,125698,2
MARIN Carolina,111520,2015.08,111520,3
CHEN Yufei,97342,2015.08,97342,4
YAMAGUCHI Akane,83164,2015.08,83164,5
PUSARLA V. Sindhu,68986,2015.08,68986,6
HE Bingjiao,54808,2015.08,54808,7
INTANON Ratchanok,40630,2015.08,40630,8
NEHWAL Saina,26452,2015.08,26452,9
TAKAHASHI Sayaka,12274,2015.08,12274,10
TAI Tzu Ying,149865,2015.09,149865,1
OKUHARA Nozomi,135876,2015.09,135876,2
MARIN Carolina,121887,2015.09,121887,3
CHEN Yufei,107898,2015.09,107898,4
YAMAGUCHI Akane,93909,2015.09,93909,5
PUSARLA V. Sindhu,79920,2015.09,79920,6
HE Bingjiao,65931,2015.09,65931,7
INTANON Ratchanok,51942,2015.09,51942,8
NEHWAL Saina,37953,2015.09,37953,9
SUNG Ji Hyun,23964,2015.09,23964,10
TAI Tzu Ying,123987,2015.10,123987,1
OKUHARA Nozomi,115687,2015.10,115687,2
MARIN Carolina,107387,2015.10,107387,3
CHEN Yufei,99087,2015.10,99087,4
YAMAGUCHI Akane,90787,2015.10,90787,5
PUSARLA V. Sindhu,82487,2015.10,82487,6
HE Bingjiao,74187,2015.10,74187,7
INTANON Ratchanok,65887,2015.10,65887,8
NEHWAL Saina,57587,2015.10,57587,9
SUNG Ji Hyun,49287,2015.10,49287,10
TAI Tzu Ying,153789,2015.11,153789,1
CHEN Yufei,148865,2015.11,148865,2
OKUHARA Nozomi,143941,2015.11,143941,3
YAMAGUCHI Akane,139017,2015.11,139017,4
MARIN Carolina,134093,2015.11,134093,5
PUSARLA V. Sindhu,129169,2015.11,129169,6
HE Bingjiao,124245,2015.11,124245,7
INTANON Ratchanok,119321,2015.11,119321,8
NEHWAL Saina,114397,2015.11,114397,9
SUNG Ji Hyun,109473,2015.11,109473,10
TAI Tzu Ying,137649,2015.12,137649,1
CHEN Yufei,126798,2015.12,126798,2
OKUHARA Nozomi,115947,2015.12,115947,3
YAMAGUCHI Akane,105096,2015.12,105096,4
MARIN Carolina,94245,2015.12,94245,5
PUSARLA V. Sindhu,83394,2015.12,83394,6
HE Bingjiao,72543,2015.12,72543,7
INTANON Ratchanok,61692,2015.12,61692,8
NEHWAL Saina,50841,2015.12,50841,9
SUNG Ji Hyun,39990,2015.12,39990,10
TAI Tzu Ying,133367,2015.13,133367,1
CHEN Yufei,129965,2015.13,129965,2
OKUHARA Nozomi,126563,2015.13,126563,3
YAMAGUCHI Akane,123161,2015.13,123161,4
MARIN Carolina,119759,2015.13,119759,5
PUSARLA V. Sindhu,116357,2015.13,116357,6
HE Bingjiao,112955,2015.13,112955,7
INTANON Ratchanok,109553,2015.13,109553,8
NEHWAL Saina,106151,2015.13,106151,9
SUNG Ji Hyun,102749,2015.13,102749,10
TAI Tzu Ying,129766,2015.14,129766,1
CHEN Yufei,119968,2015.14,119968,2
OKUHARA Nozomi,110170,2015.14,110170,3
YAMAGUCHI Akane,100372,2015.14,100372,4
MARIN Carolina,90574,2015.14,90574,5
PUSARLA V. Sindhu,80776,2015.14,80776,6
HE Bingjiao,70978,2015.14,70978,7
INTANON Ratchanok,61180,2015.14,61180,8
NEHWAL Saina,51382,2015.14,51382,9
SUNG Ji Hyun,41584,2015.14,41584,10
TAI Tzu Ying,139985,2015.15,139985,1
CHEN Yufei,123377,2015.15,123377,2
OKUHARA Nozomi,106769,2015.15,106769,3
YAMAGUCHI Akane,90161,2015.15,90161,4
MARIN Carolina,73553,2015.15,73553,5
PUSARLA V. Sindhu,56945,2015.15,56945,6
HE Bingjiao,40337,2015.15,40337,7
INTANON Ratchanok,23729,2015.15,23729,8
NEHWAL Saina,7121,2015.15,7121,9
SUNG Ji Hyun,5587,2015.15,5587,10
TAI Tzu Ying,129900,2015.16,129900,1
OKUHARA Nozomi,119865,2015.16,119865,2
CHEN Yufei,109830,2015.16,109830,3
YAMAGUCHI Akane,99795,2015.16,99795,4
MARIN Carolina,89760,2015.16,89760,5
PUSARLA V. Sindhu,79725,2015.16,79725,6
HE Bingjiao,69690,2015.16,69690,7
INTANON Ratchanok,59655,2015.16,59655,8
NEHWAL Saina,49620,2015.16,49620,9
SUNG Ji Hyun,39585,2015.16,39585,10
TAI Tzu Ying,169437,2015.17,169437,1
OKUHARA Nozomi,159985,2015.17,159985,2
CHEN Yufei,150533,2015.17,150533,3
YAMAGUCHI Akane,141081,2015.17,141081,4
MARIN Carolina,131629,2015.17,131629,5
PUSARLA V. Sindhu,122177,2015.17,122177,6
HE Bingjiao,112725,2015.17,112725,7
INTANON Ratchanok,103273,2015.17,103273,8
NEHWAL Saina,93821,2015.17,93821,9
SUNG Ji Hyun,84369,2015.17,84369,10
TAI Tzu Ying,110967,2015.18,110967,1
OKUHARA Nozomi,105587,2015.18,105587,2
CHEN Yufei,100207,2015.18,100207,3
YAMAGUCHI Akane,94827,2015.18,94827,4
PUSARLA V. Sindhu,89447,2015.18,89447,5
HE Bingjiao,84067,2015.18,84067,6
INTANON Ratchanok,78687,2015.18,78687,7
MARIN Carolina,73307,2015.18,73307,8
NEHWAL Saina,67927,2015.18,67927,9
SUNG Ji Hyun,62547,2015.18,62547,10
TAI Tzu Ying,150965,2015.19,150965,1
OKUHARA Nozomi,148764,2015.19,148764,2
PUSARLA V. Sindhu,146563,2015.19,146563,3
CHEN Yufei,144362,2015.19,144362,4
YAMAGUCHI Akane,142161,2015.19,142161,5
MARIN Carolina,139960,2015.19,139960,6
HE Bingjiao,137759,2015.19,137759,7
INTANON Ratchanok,135558,2015.19,135558,8
NEHWAL Saina,133357,2015.19,133357,9
ZHANG Beiwen,131156,2015.19,131156,10
TAI Tzu Ying,120648,2015.20,120648,1
OKUHARA Nozomi,119654,2015.20,119654,2
PUSARLA V. Sindhu,118660,2015.20,118660,3
CHEN Yufei,117666,2015.20,117666,4
YAMAGUCHI Akane,116672,2015.20,116672,5
MARIN Carolina,115678,2015.20,115678,6
HE Bingjiao,114684,2015.20,114684,7
INTANON Ratchanok,113690,2015.20,113690,8
NEHWAL Saina,112696,2015.20,112696,9
ZHANG Beiwen,111702,2015.20,111702,10
TAI Tzu Ying,148753,2015.21,148753,1
OKUHARA Nozomi,139766,2015.21,139766,2
PUSARLA V. Sindhu,130779,2015.21,130779,3
CHEN Yufei,121792,2015.21,121792,4
YAMAGUCHI Akane,112805,2015.21,112805,5
MARIN Carolina,103818,2015.21,103818,6
HE Bingjiao,94831,2015.21,94831,7
INTANON Ratchanok,85844,2015.21,85844,8
NEHWAL Saina,76857,2015.21,76857,9
ZHANG Beiwen,67870,2015.21,67870,10
TAI Tzu Ying,110000,2015.22,110000,1
OKUHARA Nozomi,90000,2015.22,90000,2
PUSARLA V. Sindhu,80000,2015.22,80000,3
MARIN Carolina,70000,2015.22,70000,4
CHEN Yufei,60000,2015.22,60000,5
YAMAGUCHI Akane,50000,2015.22,50000,6
HE Bingjiao,40000,2015.22,40000,7
INTANON Ratchanok,30000,2015.22,30000,8
NEHWAL Saina,20000,2015.22,20000,9
ZHANG Beiwen,10000,2015.22,10000,10
TAI Tzu Ying,120000,2015.23,120000,1
MARIN Carolina,110000,2015.23,110000,2
OKUHARA Nozomi,100000,2015.23,100000,3
PUSARLA V. Sindhu,90000,2015.23,90000,4
CHEN Yufei,80000,2015.23,80000,5
YAMAGUCHI Akane,70000,2015.23,70000,6
HE Bingjiao,60000,2015.23,60000,7
INTANON Ratchanok,50000,2015.23,50000,8
NEHWAL Saina,40000,2015.23,40000,9
ZHANG Beiwen,30000,2015.23,30000,10
TAI Tzu Ying,129876,2015.24,129876,1
MARIN Carolina,115879,2015.24,115879,2
OKUHARA Nozomi,101882,2015.24,101882,3
CHEN Yufei,87885,2015.24,87885,4
YAMAGUCHI Akane,73888,2015.24,73888,5
PUSARLA V. Sindhu,59891,2015.24,59891,6
HE Bingjiao,45894,2015.24,45894,7
INTANON Ratchanok,31897,2015.24,31897,8
NEHWAL Saina,17900,2015.24,17900,9
SUNG Ji Hyun,3903,2015.24,3903,10
TAI Tzu Ying,138970,2015.25,138970,1
MARIN Carolina,126750,2015.25,126750,2
OKUHARA Nozomi,114530,2015.25,114530,3
CHEN Yufei,102310,2015.25,102310,4
YAMAGUCHI Akane,90090,2015.25,90090,5
PUSARLA V. Sindhu,77870,2015.25,77870,6
HE Bingjiao,65650,2015.25,65650,7
INTANON Ratchanok,53430,2015.25,53430,8
NEHWAL Saina,41210,2015.25,41210,9
TAKAHASHI Sayaka,28990,2015.25,28990,10
TAI Tzu Ying,144797,2015.26,144797,1
OKUHARA Nozomi,138769,2015.26,138769,2
MARIN Carolina,132741,2015.26,132741,3
CHEN Yufei,126713,2015.26,126713,4
YAMAGUCHI Akane,120685,2015.26,120685,5
PUSARLA V. Sindhu,114657,2015.26,114657,6
HE Bingjiao,108629,2015.26,108629,7
INTANON Ratchanok,102601,2015.26,102601,8
NEHWAL Saina,96573,2015.26,96573,9
TAKAHASHI Sayaka,90545,2015.26,90545,10
TAI Tzu Ying,148768,2015.27,148768,1
OKUHARA Nozomi,137689,2015.27,137689,2
MARIN Carolina,126610,2015.27,126610,3
CHEN Yufei,115531,2015.27,115531,4
YAMAGUCHI Akane,104452,2015.27,104452,5
PUSARLA V. Sindhu,93373,2015.27,93373,6
HE Bingjiao,82294,2015.27,82294,7
INTANON Ratchanok,71215,2015.27,71215,8
NEHWAL Saina,60136,2015.27,60136,9
SUNG Ji Hyun,49057,2015.27,49057,10
TAI Tzu Ying,128779,2015.28,128779,1
OKUHARA Nozomi,117680,2015.28,117680,2
MARIN Carolina,106581,2015.28,106581,3
CHEN Yufei,95482,2015.28,95482,4
YAMAGUCHI Akane,84383,2015.28,84383,5
PUSARLA V. Sindhu,73284,2015.28,73284,6
HE Bingjiao,62185,2015.28,62185,7
INTANON Ratchanok,51086,2015.28,51086,8
NEHWAL Saina,39987,2015.28,39987,9
SUNG Ji Hyun,28888,2015.28,28888,10
TAI Tzu Ying,139876,2015.29,139876,1
CHEN Yufei,125698,2015.29,125698,2
OKUHARA Nozomi,111520,2015.29,111520,3
YAMAGUCHI Akane,97342,2015.29,97342,4
MARIN Carolina,83164,2015.29,83164,5
PUSARLA V. Sindhu,68986,2015.29,68986,6
HE Bingjiao,54808,2015.29,54808,7
INTANON Ratchanok,40630,2015.29,40630,8
NEHWAL Saina,26452,2015.29,26452,9
SUNG Ji Hyun,12274,2015.29,12274,10
TAI Tzu Ying,149865,2015.30,149865,1
CHEN Yufei,135876,2015.30,135876,2
OKUHARA Nozomi,121887,2015.30,121887,3
YAMAGUCHI Akane,107898,2015.30,107898,4
MARIN Carolina,93909,2015.30,93909,5
PUSARLA V. Sindhu,79920,2015.30,79920,6
HE Bingjiao,65931,2015.30,65931,7
INTANON Ratchanok,51942,2015.30,51942,8
NEHWAL Saina,37953,2015.30,37953,9
SUNG Ji Hyun,23964,2015.30,23964,10
TAI Tzu Ying,123987,2015.31,123987,1
CHEN Yufei,115687,2015.31,115687,2
OKUHARA Nozomi,107387,2015.31,107387,3
YAMAGUCHI Akane,99087,2015.31,99087,4
MARIN Carolina,90787,2015.31,90787,5
PUSARLA V. Sindhu,82487,2015.31,82487,6
HE Bingjiao,74187,2015.31,74187,7
INTANON Ratchanok,65887,2015.31,65887,8
NEHWAL Saina,57587,2015.31,57587,9
SUNG Ji Hyun,49287,2015.31,49287,10
TAI Tzu Ying,153789,2015.32,153789,1
CHEN Yufei,148865,2015.32,148865,2
OKUHARA Nozomi,143941,2015.32,143941,3
YAMAGUCHI Akane,139017,2015.32,139017,4
MARIN Carolina,134093,2015.32,134093,5
PUSARLA V. Sindhu,129169,2015.32,129169,6
HE Bingjiao,124245,2015.32,124245,7
INTANON Ratchanok,119321,2015.32,119321,8
NEHWAL Saina,114397,2015.32,114397,9
SUNG Ji Hyun,109473,2015.32,109473,10
TAI Tzu Ying,137649,2015.33,137649,1
CHEN Yufei,126798,2015.33,126798,2
OKUHARA Nozomi,115947,2015.33,115947,3
YAMAGUCHI Akane,105096,2015.33,105096,4
MARIN Carolina,94245,2015.33,94245,5
PUSARLA V. Sindhu,83394,2015.33,83394,6
HE Bingjiao,72543,2015.33,72543,7
INTANON Ratchanok,61692,2015.33,61692,8
NEHWAL Saina,50841,2015.33,50841,9
SUNG Ji Hyun,39990,2015.33,39990,10
TAI Tzu Ying,133367,2015.34,133367,1
OKUHARA Nozomi,129965,2015.34,129965,2
CHEN Yufei,126563,2015.34,126563,3
YAMAGUCHI Akane,123161,2015.34,123161,4
MARIN Carolina,119759,2015.34,119759,5
PUSARLA V. Sindhu,116357,2015.34,116357,6
HE Bingjiao,112955,2015.34,112955,7
INTANON Ratchanok,109553,2015.34,109553,8
NEHWAL Saina,106151,2015.34,106151,9
SUNG Ji Hyun,102749,2015.34,102749,10
TAI Tzu Ying,129766,2015.35,129766,1
OKUHARA Nozomi,119968,2015.35,119968,2
CHEN Yufei,110170,2015.35,110170,3
YAMAGUCHI Akane,100372,2015.35,100372,4
MARIN Carolina,90574,2015.35,90574,5
PUSARLA V. Sindhu,80776,2015.35,80776,6
HE Bingjiao,70978,2015.35,70978,7
INTANON Ratchanok,61180,2015.35,61180,8
NEHWAL Saina,51382,2015.35,51382,9
SUNG Ji Hyun,41584,2015.35,41584,10
TAI Tzu Ying,139985,2015.36,139985,1
OKUHARA Nozomi,123377,2015.36,123377,2
CHEN Yufei,106769,2015.36,106769,3
YAMAGUCHI Akane,90161,2015.36,90161,4
PUSARLA V. Sindhu,73553,2015.36,73553,5
HE Bingjiao,56945,2015.36,56945,6
INTANON Ratchanok,40337,2015.36,40337,7
MARIN Carolina,23729,2015.36,23729,8
NEHWAL Saina,7121,2015.36,7121,9
SUNG Ji Hyun,5587,2015.36,5587,10
TAI Tzu Ying,129900,2015.37,129900,1
OKUHARA Nozomi,119865,2015.37,119865,2
PUSARLA V. Sindhu,109830,2015.37,109830,3
CHEN Yufei,99795,2015.37,99795,4
YAMAGUCHI Akane,89760,2015.37,89760,5
MARIN Carolina,79725,2015.37,79725,6
HE Bingjiao,69690,2015.37,69690,7
INTANON Ratchanok,59655,2015.37,59655,8
NEHWAL Saina,49620,2015.37,49620,9
ZHANG Beiwen,39585,2015.37,39585,10
TAI Tzu Ying,169437,2015.38,169437,1
OKUHARA Nozomi,159985,2015.38,159985,2
PUSARLA V. Sindhu,150533,2015.38,150533,3
CHEN Yufei,141081,2015.38,141081,4
YAMAGUCHI Akane,131629,2015.38,131629,5
MARIN Carolina,122177,2015.38,122177,6
HE Bingjiao,112725,2015.38,112725,7
INTANON Ratchanok,103273,2015.38,103273,8
NEHWAL Saina,93821,2015.38,93821,9
ZHANG Beiwen,84369,2015.38,84369,10
TAI Tzu Ying,110967,2015.39,110967,1
OKUHARA Nozomi,105587,2015.39,105587,2
PUSARLA V. Sindhu,100207,2015.39,100207,3
CHEN Yufei,94827,2015.39,94827,4
YAMAGUCHI Akane,89447,2015.39,89447,5
MARIN Carolina,84067,2015.39,84067,6
HE Bingjiao,78687,2015.39,78687,7
INTANON Ratchanok,73307,2015.39,73307,8
NEHWAL Saina,67927,2015.39,67927,9
ZHANG Beiwen,62547,2015.39,62547,10
TAI Tzu Ying,150965,2015.40,150965,1
OKUHARA Nozomi,148764,2015.40,148764,2
PUSARLA V. Sindhu,146563,2015.40,146563,3
MARIN Carolina,144362,2015.40,144362,4
CHEN Yufei,142161,2015.40,142161,5
YAMAGUCHI Akane,139960,2015.40,139960,6
HE Bingjiao,137759,2015.40,137759,7
INTANON Ratchanok,135558,2015.40,135558,8
NEHWAL Saina,133357,2015.40,133357,9
ZHANG Beiwen,131156,2015.40,131156,10
TAI Tzu Ying,120648,2015.41,120648,1
MARIN Carolina,119654,2015.41,119654,2
OKUHARA Nozomi,118660,2015.41,118660,3
PUSARLA V. Sindhu,117666,2015.41,117666,4
CHEN Yufei,116672,2015.41,116672,5
YAMAGUCHI Akane,115678,2015.41,115678,6
HE Bingjiao,114684,2015.41,114684,7
INTANON Ratchanok,113690,2015.41,113690,8
NEHWAL Saina,112696,2015.41,112696,9
ZHANG Beiwen,111702,2015.41,111702,10
TAI Tzu Ying,148753,2015.42,148753,1
MARIN Carolina,139766,2015.42,139766,2
OKUHARA Nozomi,130779,2015.42,130779,3
CHEN Yufei,121792,2015.42,121792,4
YAMAGUCHI Akane,112805,2015.42,112805,5
PUSARLA V. Sindhu,103818,2015.42,103818,6
HE Bingjiao,94831,2015.42,94831,7
INTANON Ratchanok,85844,2015.42,85844,8
NEHWAL Saina,76857,2015.42,76857,9
SUNG Ji Hyun,67870,2015.42,67870,10
TAI Tzu Ying,110000,2015.43,110000,1
MARIN Carolina,90000,2015.43,90000,2
OKUHARA Nozomi,80000,2015.43,80000,3
CHEN Yufei,70000,2015.43,70000,4
YAMAGUCHI Akane,60000,2015.43,60000,5
PUSARLA V. Sindhu,50000,2015.43,50000,6
HE Bingjiao,40000,2015.43,40000,7
INTANON Ratchanok,30000,2015.43,30000,8
NEHWAL Saina,20000,2015.43,20000,9
TAKAHASHI Sayaka,10000,2015.43,10000,10
TAI Tzu Ying,120000,2015.44,120000,1
OKUHARA Nozomi,110000,2015.44,110000,2
MARIN Carolina,100000,2015.44,100000,3
CHEN Yufei,90000,2015.44,90000,4
YAMAGUCHI Akane,80000,2015.44,80000,5
PUSARLA V. Sindhu,70000,2015.44,70000,6
HE Bingjiao,60000,2015.44,60000,7
INTANON Ratchanok,50000,2015.44,50000,8
NEHWAL Saina,40000,2015.44,40000,9
TAKAHASHI Sayaka,30000,2015.44,30000,10
TAI Tzu Ying,129876,2015.45,129876,1
OKUHARA Nozomi,115879,2015.45,115879,2
MARIN Carolina,101882,2015.45,101882,3
CHEN Yufei,87885,2015.45,87885,4
YAMAGUCHI Akane,73888,2015.45,73888,5
PUSARLA V. Sindhu,59891,2015.45,59891,6
HE Bingjiao,45894,2015.45,45894,7
INTANON Ratchanok,31897,2015.45,31897,8
NEHWAL Saina,17900,2015.45,17900,9
SUNG Ji Hyun,3903,2015.45,3903,10
TAI Tzu Ying,138970,2015.46,138970,1
OKUHARA Nozomi,126750,2015.46,126750,2
MARIN Carolina,114530,2015.46,114530,3
CHEN Yufei,102310,2015.46,102310,4
YAMAGUCHI Akane,90090,2015.46,90090,5
PUSARLA V. Sindhu,77870,2015.46,77870,6
HE Bingjiao,65650,2015.46,65650,7
INTANON Ratchanok,53430,2015.46,53430,8
NEHWAL Saina,41210,2015.46,41210,9
SUNG Ji Hyun,28990,2015.46,28990,10
TAI Tzu Ying,144797,2015.47,144797,1
CHEN Yufei,138769,2015.47,138769,2
OKUHARA Nozomi,132741,2015.47,132741,3
YAMAGUCHI Akane,126713,2015.47,126713,4
MARIN Carolina,120685,2015.47,120685,5
PUSARLA V. Sindhu,114657,2015.47,114657,6
HE Bingjiao,108629,2015.47,108629,7
INTANON Ratchanok,102601,2015.47,102601,8
NEHWAL Saina,96573,2015.47,96573,9
SUNG Ji Hyun,90545,2015.47,90545,10
TAI Tzu Ying,148768,2015.48,148768,1
CHEN Yufei,137689,2015.48,137689,2
OKUHARA Nozomi,126610,2015.48,126610,3
YAMAGUCHI Akane,115531,2015.48,115531,4
MARIN Carolina,104452,2015.48,104452,5
PUSARLA V. Sindhu,93373,2015.48,93373,6
HE Bingjiao,82294,2015.48,82294,7
INTANON Ratchanok,71215,2015.48,71215,8
NEHWAL Saina,60136,2015.48,60136,9
SUNG Ji Hyun,49057,2015.48,49057,10
TAI Tzu Ying,128779,2015.49,128779,1
CHEN Yufei,117680,2015.49,117680,2
OKUHARA Nozomi,106581,2015.49,106581,3
YAMAGUCHI Akane,95482,2015.49,95482,4
MARIN Carolina,84383,2015.49,84383,5
PUSARLA V. Sindhu,73284,2015.49,73284,6
HE Bingjiao,62185,2015.49,62185,7
INTANON Ratchanok,51086,2015.49,51086,8
NEHWAL Saina,39987,2015.49,39987,9
SUNG Ji Hyun,28888,2015.49,28888,10
TAI Tzu Ying,139876,2015.50,139876,1
CHEN Yufei,125698,2015.50,125698,2
OKUHARA Nozomi,111520,2015.50,111520,3
YAMAGUCHI Akane,97342,2015.50,97342,4
MARIN Carolina,83164,2015.50,83164,5
PUSARLA V. Sindhu,68986,2015.50,68986,6
HE Bingjiao,54808,2015.50,54808,7
INTANON Ratchanok,40630,2015.50,40630,8
NEHWAL Saina,26452,2015.50,26452,9
SUNG Ji Hyun,12274,2015.50,12274,10
TAI Tzu Ying,149865,2015.51,149865,1
CHEN Yufei,135876,2015.51,135876,2
OKUHARA Nozomi,121887,2015.51,121887,3
YAMAGUCHI Akane,107898,2015.51,107898,4
MARIN Carolina,93909,2015.51,93909,5
PUSARLA V. Sindhu,79920,2015.51,79920,6
HE Bingjiao,65931,2015.51,65931,7
INTANON Ratchanok,51942,2015.51,51942,8
NEHWAL Saina,37953,2015.51,37953,9
SUNG Ji Hyun,23964,2015.51,23964,10
TAI Tzu Ying,123987,2015.52,123987,1
OKUHARA Nozomi,115687,2015.52,115687,2
CHEN Yufei,107387,2015.52,107387,3
YAMAGUCHI Akane,99087,2015.52,99087,4
MARIN Carolina,90787,2015.52,90787,5
PUSARLA V. Sindhu,82487,2015.52,82487,6
HE Bingjiao,74187,2015.52,74187,7
INTANON Ratchanok,65887,2015.52,65887,8
NEHWAL Saina,57587,2015.52,57587,9
SUNG Ji Hyun,49287,2015.52,49287,10
TAI Tzu Ying,110000,2014.01,110000,1
OKUHARA Nozomi,90000,2014.01,90000,2
PUSARLA V. Sindhu,80000,2014.01,80000,3
CHEN Yufei,70000,2014.01,70000,4
YAMAGUCHI Akane,60000,2014.01,60000,5
MARIN Carolina,50000,2014.01,50000,6
HE Bingjiao,40000,2014.01,40000,7
INTANON Ratchanok,30000,2014.01,30000,8
NEHWAL Saina,20000,2014.01,20000,9
ZHANG Beiwen,10000,2014.01,10000,10
TAI Tzu Ying,120000,2014.02,120000,1
OKUHARA Nozomi,110000,2014.02,110000,2
PUSARLA V. Sindhu,100000,2014.02,100000,3
CHEN Yufei,90000,2014.02,90000,4
YAMAGUCHI Akane,80000,2014.02,80000,5
MARIN Carolina,70000,2014.02,70000,6
HE Bingjiao,60000,2014.02,60000,7
INTANON Ratchanok,50000,2014.02,50000,8
NEHWAL Saina,40000,2014.02,40000,9
ZHANG Beiwen,30000,2014.02,30000,10
TAI Tzu Ying,129876,2014.03,129876,1
OKUHARA Nozomi,115879,2014.03,115879,2
PUSARLA V. Sindhu,101882,2014.03,101882,3
CHEN Yufei,87885,2014.03,87885,4
YAMAGUCHI Akane,73888,2014.03,73888,5
MARIN Carolina,59891,2014.03,59891,6
HE Bingjiao,45894,2014.03,45894,7
INTANON Ratchanok,31897,2014.03,31897,8
NEHWAL Saina,17900,2014.03,17900,9
ZHANG Beiwen,3903,2014.03,3903,10
TAI Tzu Ying,138970,2014.04,138970,1
OKUHARA Nozomi,126750,2014.04,126750,2
PUSARLA V. Sindhu,114530,2014.04,114530,3
MARIN Carolina,102310,2014.04,102310,4
CHEN Yufei,90090,2014.04,90090,5
YAMAGUCHI Akane,77870,2014.04,77870,6
HE Bingjiao,65650,2014.04,65650,7
INTANON Ratchanok,53430,2014.04,53430,8
NEHWAL Saina,41210,2014.04,41210,9
ZHANG Beiwen,28990,2014.04,28990,10
TAI Tzu Ying,144797,2014.05,144797,1
MARIN Carolina,138769,2014.05,138769,2
OKUHARA Nozomi,132741,2014.05,132741,3
PUSARLA V. Sindhu,126713,2014.05,126713,4
CHEN Yufei,120685,2014.05,120685,5
YAMAGUCHI Akane,114657,2014.05,114657,6
HE Bingjiao,108629,2014.05,108629,7
INTANON Ratchanok,102601,2014.05,102601,8
NEHWAL Saina,96573,2014.05,96573,9
ZHANG Beiwen,90545,2014.05,90545,10
TAI Tzu Ying,148768,2014.06,148768,1
MARIN Carolina,137689,2014.06,137689,2
OKUHARA Nozomi,126610,2014.06,126610,3
CHEN Yufei,115531,2014.06,115531,4
YAMAGUCHI Akane,104452,2014.06,104452,5
PUSARLA V. Sindhu,93373,2014.06,93373,6
HE Bingjiao,82294,2014.06,82294,7
INTANON Ratchanok,71215,2014.06,71215,8
NEHWAL Saina,60136,2014.06,60136,9
SUNG Ji Hyun,49057,2014.06,49057,10
TAI Tzu Ying,128779,2014.07,128779,1
MARIN Carolina,117680,2014.07,117680,2
OKUHARA Nozomi,106581,2014.07,106581,3
CHEN Yufei,95482,2014.07,95482,4
YAMAGUCHI Akane,84383,2014.07,84383,5
PUSARLA V. Sindhu,73284,2014.07,73284,6
HE Bingjiao,62185,2014.07,62185,7
INTANON Ratchanok,51086,2014.07,51086,8
NEHWAL Saina,39987,2014.07,39987,9
TAKAHASHI Sayaka,28888,2014.07,28888,10
TAI Tzu Ying,139876,2014.08,139876,1
OKUHARA Nozomi,125698,2014.08,125698,2
MARIN Carolina,111520,2014.08,111520,3
CHEN Yufei,97342,2014.08,97342,4
YAMAGUCHI Akane,83164,2014.08,83164,5
PUSARLA V. Sindhu,68986,2014.08,68986,6
HE Bingjiao,54808,2014.08,54808,7
INTANON Ratchanok,40630,2014.08,40630,8
NEHWAL Saina,26452,2014.08,26452,9
TAKAHASHI Sayaka,12274,2014.08,12274,10
TAI Tzu Ying,149865,2014.09,149865,1
OKUHARA Nozomi,135876,2014.09,135876,2
MARIN Carolina,121887,2014.09,121887,3
CHEN Yufei,107898,2014.09,107898,4
YAMAGUCHI Akane,93909,2014.09,93909,5
PUSARLA V. Sindhu,79920,2014.09,79920,6
HE Bingjiao,65931,2014.09,65931,7
INTANON Ratchanok,51942,2014.09,51942,8
NEHWAL Saina,37953,2014.09,37953,9
SUNG Ji Hyun,23964,2014.09,23964,10
TAI Tzu Ying,123987,2014.10,123987,1
OKUHARA Nozomi,115687,2014.10,115687,2
MARIN Carolina,107387,2014.10,107387,3
CHEN Yufei,99087,2014.10,99087,4
YAMAGUCHI Akane,90787,2014.10,90787,5
PUSARLA V. Sindhu,82487,2014.10,82487,6
HE Bingjiao,74187,2014.10,74187,7
INTANON Ratchanok,65887,2014.10,65887,8
NEHWAL Saina,57587,2014.10,57587,9
SUNG Ji Hyun,49287,2014.10,49287,10
TAI Tzu Ying,153789,2014.11,153789,1
CHEN Yufei,148865,2014.11,148865,2
OKUHARA Nozomi,143941,2014.11,143941,3
YAMAGUCHI Akane,139017,2014.11,139017,4
MARIN Carolina,134093,2014.11,134093,5
PUSARLA V. Sindhu,129169,2014.11,129169,6
HE Bingjiao,124245,2014.11,124245,7
INTANON Ratchanok,119321,2014.11,119321,8
NEHWAL Saina,114397,2014.11,114397,9
SUNG Ji Hyun,109473,2014.11,109473,10
TAI Tzu Ying,137649,2014.12,137649,1
CHEN Yufei,126798,2014.12,126798,2
OKUHARA Nozomi,115947,2014.12,115947,3
YAMAGUCHI Akane,105096,2014.12,105096,4
MARIN Carolina,94245,2014.12,94245,5
PUSARLA V. Sindhu,83394,2014.12,83394,6
HE Bingjiao,72543,2014.12,72543,7
INTANON Ratchanok,61692,2014.12,61692,8
NEHWAL Saina,50841,2014.12,50841,9
SUNG Ji Hyun,39990,2014.12,39990,10
TAI Tzu Ying,133367,2014.13,133367,1
CHEN Yufei,129965,2014.13,129965,2
OKUHARA Nozomi,126563,2014.13,126563,3
YAMAGUCHI Akane,123161,2014.13,123161,4
MARIN Carolina,119759,2014.13,119759,5
PUSARLA V. Sindhu,116357,2014.13,116357,6
HE Bingjiao,112955,2014.13,112955,7
